Name,Value
Mission Area : Antisubmarine Warfare (Sea Subsurface),35011
Mission Area : Auxiliary,35021
Mission Area : Command and Control,35031
Mission Area : Intelligence Surveillance Reconnaissance,35041
Mission Area : Mine Countermeasures (Sea Subsurface),35051
Mission Area : Mine Warfare (Sea Subsurface),35061
Mission Area : Surface Warfare (Sea Subsurface),35071
Weapons Capability : Attack,35081
Weapons Capability : Ballistic Missile (Sea Subsurface),35091
Weapons Capability : Guided Missile (Sea Subsurface),35101
Weapons Capability : Other Guided Missile (Sea Subsurface),35111
Asset Capability : SOF (Sea Subsurface),35121
Submarine Confidence : Possible Submarine Low 1,35131
Submarine Confidence : Possible Submarine Low 2,35141
Submarine Confidence : Possible Submarine High 3,35151
Submarine Confidence : Possible Submarine High 4,35161
Submarine Confidence : Probable Submarine,35171
Submarine Confidence : Certain Submarine,35181
Weapons Capability : Anti-torpedo Torpedo,35191
Crime : Hijacking/Highjacked,35201
