Name,Value
Ship Propulsion : Air Independent Propulsion,"35012"
Ship Propulsion : Diesel Electric General,"35022"
Ship Propulsion : Diesel - Type 1,"35032"
Ship Propulsion : Diesel - Type 2,"35042"
Ship Propulsion : Diesel - Type 3,"35052"
Ship Propulsion : Nuclear Powered General,"35062"
Ship Propulsion : Nuclear - Type 1,"35072"
Ship Propulsion : Nuclear - Type 2,"35082"
Ship Propulsion : Nuclear - Type 3,"35092"
Ship Propulsion : Nuclear - Type 4,"35102"
Ship Propulsion : Nuclear - Type 5,"35112"
Ship Propulsion : Nuclear - Type 6,"35122"
Ship Propulsion : Nuclear - Type 7,"35132"
UUV Control : Autonomous Control,"35142"
UUV Control : Remotely Piloted,"35152"
UUV Control : Expendable,"35162"
