Name,Value
Sea Surface : Military,30110000
Sea Surface : Military Combatant,30120000
Sea Surface : Military Combatant : Carrier,30120100
Sea Surface : Military Combatant : Surface Combatant- Line,30120200
Sea Surface : Military Combatant : Surface Combatant- Line : Battleship,30120201
Sea Surface : Military Combatant : Surface Combatant- Line : Cruiser,30120202
Sea Surface : Military Combatant : Surface Combatant- Line : Destroyer,30120203
Sea Surface : Military Combatant : Surface Combatant- Line : Frigate,30120204
Sea Surface : Military Combatant : Surface Combatant- Line : Corvette,30120205
Sea Surface : Military Combatant : Surface Combatant- Line : Littoral Combatant Ship,30120206
Sea Surface : Military Combatant : Amphibious Warfare Ship,30120300
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Command Ship,30120301
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Assault- Non-specified,30120302
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Assault Ship- General,30120303
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Assault Ship- Multipurpose,30120304
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Assault Ship- Helicopter,30120305
Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Transport Dock,30120306
Sea Surface : Military Combatant : Amphibious Warfare Ship : Landing Ship,30120307
Sea Surface : Military Combatant : Amphibious Warfare Ship : Landing Craft,30120308
Sea Surface : Military Combatant : Mine Warfare Ship,30120400
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Layer,30120401
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Sweeper,30120402
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Sweeper- Drone,30120403
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Hunter,30120404
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Countermeasures,30120405
Sea Surface : Military Combatant : Mine Warfare Ship : Mine Countermeasures- Support Ship,30120406
Sea Surface : Military Combatant : Patrol Boat,30120500
Sea Surface : Military Combatant : Patrol Boat : Patrol Craft- Submarine Chaser/Escort- General,30120501
Sea Surface : Military Combatant : Patrol Boat : Patrol Ship- General,30120502
Sea Surface : Military Combatant : Decoy,30120600
Sea Surface : Military Combatant : Unmanned Surface Water Vehicle (USV),30120700
Sea Surface : Military Combatant : Speedboat,30120800
