Name,Value
Mission Area : Own Ship,30011
Mission Area : Antiair Warfare,30021
Mission Area : Antisubmarine Warfare (Sea Surface),30031
Mission Area : Escort,30041
Mission Area : Electronic Warfare,30051
Mission Area : Intelligence- Surveillance- Reconnaissance,30061
Mission Area : Mine Countermeasures (Sea Surface),30071
Mission Area : Missile Defense,30081
Mission Area : Medical,30091
Mission Area : Mine Warfare (Sea Surface),30101
Mission Area : Remote Multi-Mission Vehicle (USV-only),30111
Asset Capability : SOF (Sea Surface),30121
Mission Area : Surface Warfare (Sea Surface),30131
Weapons Capability : Ballistic Missile (Sea Surface),30141
Weapons Capability : Guided Missile (Sea Surface),30151
Weapons Capability : Other Guided Missile (Sea Surface),30161
Weapons Capability : Torpedo,30171
Asset Capability : Drone-Equipped,30181
Asset Capability : Helicopter-Equipped/VSTOL,30191
Mission Area : Ballistic Missile Defense- Shooter,30201
Mission Area : Ballistic Missile Defense- Long-Range Surveillance and Track (LRST),30211
Mission Area : Sea-Base X-Band,30221
Crime : Hijacking/Hijacked (Sea Surface),30231
