Name,Value
Sea Surface : Modifier 2 : Ship Propulsion : Nuclear Powered,30012
Sea Surface : Modifier 2 : Ship Capacity : Heavy,30022
Sea Surface : Modifier 2 : Ship Capacity : Light,30032
Sea Surface : Modifier 2 : Ship Capacity : Medium,30042
Sea Surface : Modifier 2 : Cargo Capacity : Dock,30052
Sea Surface : Modifier 2 : Cargo Capacity : Logistics,30062
Sea Surface : Modifier 2 : Cargo Capacity : Tank,30072
Sea Surface : Modifier 2 : Cargo Capacity : Vehicle,30082
Sea Surface : Modifier 2 : Ship Mobility : Fast,30092
Sea Surface : Modifier 2 : Ship Mobility : Air-Cushioned (US),30102
Sea Surface : Modifier 2 : Ship Mobility : Air-Cushioned (NATO),30112
Sea Surface : Modifier 2 : Ship Mobility : Hydrofoil,30122
Sea Surface : Modifier 2 : USV Control : Autonomous Control,30132
Sea Surface : Modifier 2 : USV Control : Remotely Piloted,30142
Sea Surface : Modifier 2 : USV Control : Expendable,30152
