Name,Value
Military (Space),05110000
Military (Space) : Space Vehicle,05110100
Military (Space) : Re-Entry Vehicle,05110200
Military (Space) : Planet Lander,05110300
Military (Space) : Orbiter Shuttle,05110400
Military (Space) : Capsule,05110500
Military (Space) : Satellite- General,05110600
Military (Space) : Satellite,05110700
Military (Space) : Antisatellite Weapon,05110800
Military (Space) : Astronomical Satellite,05110900
Military (Space) : Biosatellite,05111000
Military (Space) : Communications Satellite,05111100
Military (Space) : Earth Observation Satellite,05111200
Military (Space) : Miniaturized Satellite,05111300
Military (Space) : Navigational Satellite,05111400
Military (Space) : Reconnaissance Satellite,05111500
Military (Space) : Space Station,05111600
Military (Space) : Tethered Satellite,05111700
Military (Space) : Weather Satellite,05111800
Military (Space) : Space Launched Vehicle (SLV),05111900
Civilian (Space),05120000
Civilian (Space) : Orbiter Shuttle,05120100
Civilian (Space) : Capsule,05120200
Civilian (Space) : Satellite,05120300
Civilian (Space) : Astronomical Satellite,05120400
Civilian (Space) : Biosatellite,05120500
Civilian (Space) : Communications Satellite,05120600
Civilian (Space) : Earth Observation Satellite,05120700
Civilian (Space) : Miniaturized Satellite,05120800
Civilian (Space) : Navigational Satellite,05120900
Civilian (Space) : Space Station,05121000
Civilian (Space) : Tethered Satellite,05121100
Civilian (Space) : Weather Satellite,05121200
Manual Track (Space),05130000
Missile (Space Missile),06110000
