Name,Value
Sensor : Optical,"05012"
Sensor : Infrared,"05022"
Sensor : Radar,"05032"
Sensor : Signals Intelligence (SIGINT),"05042"
Missile Range : Short Range (Space Missile),"06012"
Missile Range : Medium Range (Space Missile),"06022"
Missile Range : Intermediate Range (Space Missile),"06032"
Missile Range : Long Range (Space Missile),"06042"
Missile Range : Intercontinental (Space Missile),"06052"
Missile Type - BMD : Arrow,"06062"
Missile Type - BMD : Ground-Based Interceptor (GBI),"06072"
Missile Type - BMD : Patriot,"06082"
Missile Type - BMD : Standard Missile - Terminal Phase (SM-T),"06092"
Missile Type - BMD : Standard Missile - 3 (SM-3),"06102"
Missile Type - BMD : Terminal High-Altitude Area Defense (THAAD),"06112"
Launch Origin : Space 2,"06122"
