Name,Value
Movement and Maneuver : Combat,S-G-UC----
Movement and Maneuver : Antitank/Antiarmor,S-G-UCAA--
Movement and Maneuver : Antitank/Antiarmor : Armored,S-G-UCAAA-
Movement and Maneuver : Antitank/Antiarmor : Armored : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAAS
Movement and Maneuver : Antitank/Antiarmor : Armored : Mobility : Wheeled,S-G-UCAAAW
Movement and Maneuver : Antitank/Antiarmor : Mobility : Arctic,S-G-UCAAC-
Movement and Maneuver : Antitank/Antiarmor : Capability : Light,S-G-UCAAL-
Movement and Maneuver : Antitank/Antiarmor : Mobility : Airborne,S-G-UCAAM-
Movement and Maneuver : Antitank/Antiarmor : Motorized,S-G-UCAAO-
Movement and Maneuver : Antitank/Antiarmor : Motorized : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAOS
Movement and Maneuver : Antitank/Antiarmor : Mobility : Air Mobile/Air Assault (US Only),S-G-UCAAS-
Movement and Maneuver : Antitank/Antiarmor : Capability : Mountain,S-G-UCAAU-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked,S-G-UCAT--
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Mobility : Airborne,S-G-UCATA-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Heavy,S-G-UCATH-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Light,S-G-UCATL-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Medium,S-G-UCATM-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Capability : Recovery (Maintenance),S-G-UCATR-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Amphibious,S-G-UCATW-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Amphibious : Capability : Recovery (Maintenance),S-G-UCATWR
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Mobility : Wheeled,S-G-UCAW--
Movement and Maneuver : Antitank/Antiarmor : Mobility : Air Mobile/Air Assault (US Only) : Mobility : Wheeled,S-G-UCAWS-
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Amphibious : Mobility : Wheeled,S-G-UCAWW-
Fires : Air Defense,S-G-UCD---
Fires : Air Defense : Main Gun System,S-G-UCDG--
Fires : Air Defense : Missile : Capability : Ground Station Module,S-G-UCDH--
Fires : Air Defense : Missile,S-G-UCDM--
Fires : Air Defense : Missile : Capability : Heavy,S-G-UCDMH-
Fires : Air Defense : Missile : Capability : Light,S-G-UCDML-
