SymbolSet,Entity,EntityType,EntitySubType,StandardIdentity,Code,GeometryType,IconType,UniqueName
01,Unspecified,,,,000000,NotValid,NA,Unspecified
01,Military,,,,110000,Point,MAIN,Military (Air)
01,Military,Fixed-Wing,,,110100,Point,MAIN,Military (Air) : Fixed-Wing
01,Military,Fixed-Wing,Medical Evacuation (MEDEVAC),,110101,Point,MAIN,Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC)
01,Military,Fixed-Wing,Attack/Strike,,110102,Point,MAIN,Military (Air) : Fixed-Wing : Attack/Strike
01,Military,Fixed-Wing,Bomber,,110103,Point,MAIN,Military (Air) : Fixed-Wing : Bomber
01,Military,Fixed-Wing,Fighter,,110104,Point,MAIN,Military (Air) : Fixed-Wing : Fighter
01,Military,Fixed-Wing,Fighter/Bomber,,110105,Point,MAIN,Military (Air) : Fixed-Wing : Fighter/Bomber
01,Military,Fixed-Wing,Cargo,,110107,Point,MAIN,Military (Air) : Fixed-Wing : Cargo
01,Military,Fixed-Wing,Electronic Combat (EC)/Jammer,,110108,Point,MAIN,Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer
01,Military,Fixed-Wing,Tanker,,110109,Point,MAIN,Military (Air) : Fixed-Wing : Tanker
01,Military,Fixed-Wing,Patrol,,110110,Point,MAIN,Military (Air) : Fixed-Wing : Patrol
01,Military,Fixed-Wing,Reconnaissance,,110111,Point,MAIN,Military (Air) : Fixed-Wing : Reconnaissance
01,Military,Fixed-Wing,Trainer,,110112,Point,MAIN,Military (Air) : Fixed-Wing : Trainer
01,Military,Fixed-Wing,Utility,,110113,Point,MAIN,Military (Air) : Fixed-Wing : Utility
01,Military,Fixed-Wing,VSTOL,,110114,Point,MAIN,Military (Air) : Fixed-Wing : VSTOL
01,Military,Fixed-Wing,Airborne Command Post (ACP),,110115,Point,MAIN,Military (Air) : Fixed-Wing : Airborne Command Post (ACP)
01,Military,Fixed-Wing,Airborne Early Warning (AEW),,110116,Point,MAIN,Military (Air) : Fixed-Wing : Airborne Early Warning (AEW)
01,Military,Fixed-Wing,Antisurface Warfare,,110117,Point,MAIN,Military (Air) : Fixed-Wing : Antisurface Warfare
01,Military,Fixed-Wing,Antisubmarine Warfare,,110118,Point,MAIN,Military (Air) : Fixed-Wing : Antisubmarine Warfare
01,Military,Fixed-Wing,Communications,,110119,Point,MAIN,Military (Air) : Fixed-Wing : Communications
01,Military,Fixed-Wing,Combat Search and Rescue (CSAR),,110120,Point,MAIN,Military (Air) : Fixed-Wing : Combat Search and Rescue (CSAR)
01,Military,Fixed-Wing,Electronic Support (ES),,110121,Point,MAIN,Military (Air) : Fixed-Wing : Electronic Support (ES)
01,Military,Fixed-Wing,Government,,110122,Point,MAIN,Military (Air) : Fixed-Wing : Government
01,Military,Fixed-Wing,Mine Countermeasures (MCM),,110123,Point,MAIN,Military (Air) : Fixed-Wing : Mine Countermeasures (MCM)
01,Military,Fixed-Wing,Personnel Recovery,,110124,Point,MAIN,Military (Air) : Fixed-Wing : Personnel Recovery
01,Military,Fixed-Wing,Search and Rescue,,110125,Point,MAIN,Military (Air) : Fixed-Wing : Search and Rescue
01,Military,Fixed-Wing,Special Operations Forces,,110126,Point,MAIN,Military (Air) : Fixed-Wing : Special Operations Forces
01,Military,Fixed-Wing,Ultra Light,,110127,Point,MAIN,Military (Air) : Fixed-Wing : Ultra Light
01,Military,Fixed-Wing,Photographic Reconnaissance,,110128,Point,MAIN,Military (Air) : Fixed-Wing : Photographic Reconnaissance
01,Military,Fixed-Wing,Very Important Person (VIP),,110129,Point,MAIN,Military (Air) : Fixed-Wing : Very Important Person (VIP)
01,Military,Fixed-Wing,Suppression of Enemy Air Defense,,110130,Point,MAIN,Military (Air) : Fixed-Wing : Suppression of Enemy Air Defense
01,Military,Fixed-Wing,Passenger,,110131,Point,MAIN,Military (Air) : Fixed-Wing : Passenger
01,Military,Fixed-Wing,Escort,,110132,Point,MAIN,Military (Air) : Fixed-Wing : Escort
01,Military,Fixed-Wing,Electronic Attack (EA),,110133,Point,MAIN,Military (Air) : Fixed-Wing : Electronic Attack (EA)
01,Military,Rotary-Wing,,,110200,Point,MAIN,Military (Air) : Rotary-Wing
01,Military,Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV),,,110300,Point,MAIN,Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV)
01,Military,Vertical-Takeoff UAV (VT-UAV),,,110400,Point,MAIN,Military (Air) : Vertical-Takeoff UAV (VT-UAV)
01,Military,Lighter Than Air,,,110500,Point,MAIN,Military (Air) : Lighter Than Air
01,Military,Airship,,,110600,Point,MAIN,Military (Air) : Airship
01,Military,Tethered Lighter Than Air,,,110700,Point,MAIN,Military (Air) : Tethered Lighter Than Air
01,Civilian,,,,120000,Point,MAIN,Civilian (Air)
01,Civilian,Fixed Wing,,,120100,Point,MAIN,Civilian (Air) : Fixed Wing
01,Civilian,Rotary Wing,,,120200,Point,MAIN,Civilian (Air) : Rotary Wing
01,Civilian,Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remote Piloted Vehicle (RPV),,,120300,Point,MAIN,Civilian (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV)
01,Civilian,Lighter Than Air,,,120400,Point,MAIN,Civilian (Air) : Lighter Than Air
01,Civilian,Airship,,,120500,Point,MAIN,Civilian (Air) : Airship
01,Civilian,Tethered Lighter than Air,,,120600,Point,MAIN,Civilian (Air) : Tethered Lighter than Air
01,Weapon,,,,130000,Point,MAIN,Weapon (Air)
01,Weapon,Bomb,,,130100,Point,MAIN,Weapon (Air) : Bomb
01,Weapon,Decoy,,,130200,Point,MAIN,Weapon (Air) : Decoy
01,Manual Track,,,,140000,Point,FULL_OCTAGON,Manual Track (Air)
