SymbolSet,ModifierNumber,Category,Name,Code,UniqueName
01,1,,Not Applicable,00,Not Applicable
01,1,Military Aircraft Type,Attack/Strike,01,Military Aircraft Type : Attack/Strike
01,1,Military Aircraft Type,Bomber,02,Military Aircraft Type : Bomber
01,1,Aircraft Type,Cargo,03,Aircraft Type : Cargo
01,1,Military Aircraft Type,Fighter,04,Military Aircraft Type : Fighter
01,1,Military Aircraft Type,Interceptor,05,Military Aircraft Type : Interceptor
01,1,Aircraft Type,Tanker,06,Aircraft Type : Tanker
01,1,Aircraft Type,Utility,07,Aircraft Type : Utility
01,1,Aircraft Type,VSTOL/VTOL,08,Aircraft Type : VSTOL/VTOL
01,1,Aircraft Type,Passenger,09,Aircraft Type : Passenger
01,1,Aircraft Type,Ultra Light,10,Aircraft Type : Ultra Light
01,1,Military Aircraft Type,Airborne Command Post (ACP),11,Military Aircraft Type : Airborne Command Post (ACP)
01,1,Military Aircraft Type,Airborne Early Warning (AEW),12,Military Aircraft Type : Airborne Early Warning (AEW)
01,1,Aircraft Type,Government,13,Aircraft Type : Government
01,1,Mission Area,Medical Evacuation (MEDEVAC),14,Mission Area : Medical Evacuation (MEDEVAC)
01,1,Military Mission Area,Escort,15,Military Mission Area : Escort
01,1,Military Mission Area,Electronic Combat (EC)/Jammer,16,Military Mission Area : Electronic Combat (EC)/Jammer
01,1,Mission Area,Patrol,17,Mission Area : Patrol
01,1,Mission Area,Reconnaissance,18,Mission Area : Reconnaissance
01,1,Mission Area,Trainer,19,Mission Area : Trainer
01,1,Mission Area,Photographic (Reconnaissance),20,Mission Area : Photographic (Reconnaissance)
01,1,Mission Area,Personnel Recovery,21,Mission Area : Personnel Recovery
01,1,Military Mission Area,Antisubmarine Warfare,22,Military Mission Area : Antisubmarine Warfare
01,1,Mission Area,Communications,23,Mission Area : Communications
01,1,Military Mission Area,Electronic Support (ES),24,Military Mission Area : Electronic Support (ES)
01,1,Military Mission Area,Mine Countermeasures (MCM),25,Military Mission Area : Mine Countermeasures (MCM)
01,1,Mission Area,Search and Rescue,26,Mission Area : Search and Rescue
01,1,Military Mission Area,Special Operations Forces,27,Military Mission Area : Special Operations Forces
01,1,Military Mission Area,Surface Warfare,28,Military Mission Area : Surface Warfare
01,1,Mission Area,Very Important Person (VIP) Transport,29,Mission Area : Very Important Person (VIP) Transport
01,1,Military Mission Area,Combat Search and Rescue (CSAR),30,Military Mission Area : Combat Search and Rescue (CSAR)
01,1,Military Mission Area,Suppression of Enemy Air Defenses,31,Military Mission Area : Suppression of Enemy Air Defenses
01,1,Military Mission Area,Antisurface Warfare,32,Military Mission Area : Antisurface Warfare
01,1,Military Aircraft Type,Fighter/Bomber,33,Military Aircraft Type : Fighter/Bomber
01,1,Mission Area,Intensive Care,34,Mission Area : Intensive Care
01,1,Military Mission Area,Electronic Attack (EA),35,Military Mission Area : Electronic Attack (EA)
01,1,Mission Area,Multimission,36,Mission Area : Multimission
01,1,Crime,Hijacking,37,Crime : Hijacking (Air)
01,1,Mission Area,ASW Helo - LAMPS,38,Mission Area : ASW Helo - LAMPS
01,1,Mission Area,ASW Helo - SH-60R,39,Mission Area : ASW Helo - SH-60R
