SymbolSet,ModifierNumber,Category,Name,Code,UniqueName
01,2,Cargo/Transport Capacity,Heavy,01,Cargo/Transport Capacity : Heavy
01,2,Cargo/Transport Capacity,Medium,02,Cargo/Transport Capacity : Medium
01,2,Cargo/Transport Capacity,Light,03,Cargo/Transport Capacity : Light
01,2,Re-fueling Capability,Boom-Only,04,Re-fueling Capability : Boom-Only
01,2,Re-fueling Capability,Drogue-Only,05,Re-fueling Capability : Drogue-Only
01,2,Re-fueling Capability,Boom and Drogue,06,Re-fueling Capability : Boom and Drogue
01,2,Range,Close Range,07,Range : Close Range
01,2,Range,Short Range,08,Range : Short Range
01,2,Range,Medium Range,09,Range : Medium Range
01,2,Range,Long Range,10,Range : Long Range
01,2,Track Link Availability,Downlinked,11,Track Link Availability : Downlinked
