SymbolSet,ModifierNumber,Category,Name,Code,UniqueName
01,2,,Not Applicable,00,Not Applicable
01,2,Cargo/Transport Capacity,Heavy,01,Cargo/Transport Capacity : Heavy
01,2,Cargo/Transport Capacity,Medium,02,Cargo/Transport Capacity : Medium
01,2,Cargo/Transport Capacity,Light,03,Cargo/Transport Capacity : Light
01,2,Re-fueling Capability,Boom-Only,04,Re-fueling Capability : Boom-Only
01,2,Re-fueling Capability,Drogue-Only,05,Re-fueling Capability : Drogue-Only
01,2,Re-fueling Capability,Boom and Drogue,06,Re-fueling Capability : Boom and Drogue
01,2,Range,Close Range,07,Range : Close Range
01,2,Range,Short Range,08,Range : Short Range
01,2,Range,Medium Range,09,Range : Medium Range
01,2,Range,Long Range,10,Range : Long Range
01,2,Track Link Availability,Downlinked,11,Track Link Availability : Downlinked
02,2,,Unspecified,00,Unspecified
02,2,Missile Destination,Air,01,Missile Destination : Air
02,2,Missile Destination,Surface,02,Missile Destination : Surface
02,2,Missile Destination,Subsurface,03,Missile Destination : Subsurface
02,2,Missile Destination,Space,04,Missile Destination : Space
02,2,Missile Status,Launched,05,Missile Status : Launched
02,2,Missile Status,Missile,06,Missile Status : Missile
02,2,Missile Type-BMD,Patriot,07,Missile Type-BMD : Patriot
02,2,Missile Type-AAW,Standard Missile-2 (SM-2),08,Missile Type-AAW : Standard Missile-2 (SM-2)
02,2,Missile Type-AAW,Standard Missile-6 (SM-6),09,Missile Type-AAW : Standard Missile-6 (SM-6)
02,2,Missile Type-AAW,Evolved Sea Sparrow Missile (ESSM),10,Missile Type-AAW : Evolved Sea Sparrow Missile (ESSM)
02,2,Missile Type-AAW,Rolling Airframe Missile (RAM),11,Missile Type-AAW : Rolling Airframe Missile (RAM)
02,2,Missile Range,Short Range,12,Missile Range : Short Range (Air Missile)
02,2,Missile Range,Medium Range,13,Missile Range : Medium Range (Air Missile)
02,2,Missile Range,Intermediate Range,14,Missile Range : Intermediate Range (Air Missile)
02,2,Missile Range,Long Range,15,Missile Range : Long Range (Air Missile)
02,2,Missile Range,Intercontinental,16,Missile Range : Intercontinental (Air Missile)
05,2,,Unspecified,00,Unspecified
05,2,Sensor,Optical,01,Sensor : Optical
05,2,Sensor,Infrared,02,Sensor : Infrared
05,2,Sensor,Radar,03,Sensor : Radar
05,2,Sensor,Signals Intelligence (SIGINT),04,Sensor : Signals Intelligence (SIGINT)
06,2,,Unspecified,00,Unspecified
06,2,Missile Range,Short Range,01,Missile Range : Short Range (Space Missile)
06,2,Missile Range,Medium Range,02,Missile Range : Medium Range (Space Missile)
06,2,Missile Range,Intermediate Range,03,Missile Range : Intermediate Range (Space Missile)
06,2,Missile Range,Long Range,04,Missile Range : Long Range (Space Missile)
06,2,Missile Range,Intercontinental,05,Missile Range : Intercontinental (Space Missile)
