SymbolSet,ModifierNumber,Category,Name,Code,UniqueName
27,1,,Unspecified,00,Unspecified
27,1,Task,Close Protection,01,Task : Close Protection
27,1,Task,Crowd and Riot Control,02,Task : Crowd and Riot Control
27,1,Task,Explosive Ordnance Disposal (EOD),03,Task : Explosive Ordnance Disposal (EOD)
27,1,Task,Security,04,Task : Security
27,1,Task,Sniper,05,Task : Sniper
27,1,Task,Special Weapons and Tactics,06,Task : Special Weapons and Tactics
27,1,Organization,Non-Governmental Organization Member,07,Organization : Non-Governmental Organization Member
27,1,Organization,Multinational,08,Organization : Multinational
27,1,Organization,Multinational Specialized Unit,09,Organization : Multinational Specialized Unit
27,1,Organization,Governmental Organization Member,10,Organization : Governmental Organization Member
27,1,Task,Video Imagery (Combat Camera),11,Task : Video Imagery (Combat Camera)
27,1,Functional Staff Area,J1,12,Functional Staff Area : J1
27,1,Functional Staff Area,J2,13,Functional Staff Area : J2
27,1,Functional Staff Area,J3,14,Functional Staff Area : J3
27,1,Functional Staff Area,J4,15,Functional Staff Area : J4
27,1,Functional Staff Area,J5,16,Functional Staff Area : J5
27,1,Functional Staff Area,J6,17,Functional Staff Area : J6
27,1,Functional Staff Area,J7,18,Functional Staff Area : J7
27,1,Functional Staff Area,J8,19,Functional Staff Area : J8
27,1,Functional Staff Area,J9,20,Functional Staff Area : J9
27,1,Rank,OF-1,21,Rank : OF-1
27,1,Rank,OF-2,22,Rank : OF-2
27,1,Rank,OF-3,23,Rank : OF-3
27,1,Rank,OF-4,24,Rank : OF-4
27,1,Rank,OF-5,25,Rank : OF-5
27,1,Rank,OF-6,26,Rank : OF-6
27,1,Rank,OF-7,27,Rank : OF-7
27,1,Rank,OF-8,28,Rank : OF-8
27,1,Rank,OF-9,29,Rank : OF-9
27,1,Rank,OF-10,30,Rank : OF-10
27,1,Rank,OF-D,31,Rank : OF-D
27,1,Rank,OR-1,32,Rank : OR-1
27,1,Rank,OR-2,33,Rank : OR-2
27,1,Rank,OR-3,34,Rank : OR-3
27,1,Rank,OR-4,35,Rank : OR-4
27,1,Rank,OR-5,36,Rank : OR-5
27,1,Rank,OR-6,37,Rank : OR-6
27,1,Rank,OR-7,38,Rank : OR-7
27,1,Rank,OR-8,39,Rank : OR-8
27,1,Rank,OR-9,40,Rank : OR-9
27,1,Rank,WO-1,41,Rank : WO-1
27,1,Rank,WO-2,42,Rank : WO-2
27,1,Rank,WO-3,43,Rank : WO-3
27,1,Rank,WO-4,44,Rank : WO-4
27,1,Rank,WO-5,45,Rank : WO-5
27,1,Echelon,Individual,46,Echelon : Individual
27,1,Echelon,Team/Crew,47,Echelon : Team/Crew
27,1,Echelon,Squad,48,Echelon : Squad
27,1,Echelon,Section,49,Echelon : Section
27,1,Echelon,Platoon/Detachment,50,Echelon : Platoon/Detachment
27,1,Echelon,Company,51,Echelon : Company
27,1,Echelon,Battalion,52,Echelon : Battalion
27,1,Echelon,Regiment/Group,53,Echelon : Regiment/Group
27,1,Echelon,Brigade,54,Echelon : Brigade
27,1,Echelon,Division,55,Echelon : Division
