Code,Value
00,Unknown
11,Team/Crew
12,Squad
13,Section
14,Platoon/Detachment
15,Company/Battery/Troop
16,Battalion/Squadron
17,Regiment/Group
18,Brigade
19,Extension
21,Division
22,Corps/MEF
23,Army
24,Army Group/Front
25,Region/Theater
26,Command
29,Extension
31,Wheeled limited cross country
32,Wheeled cross country
33,Tracked
34,Wheeled and tracked combination
35,Towed
36,Rail
37,Pack animals
39,Extension
41,Over snow (prime mover)
42,Sled
49,Extension
51,Barge
52,Amphibious
59,Extension
61,Short towed array
62,Long towed array
69,Extension
99,Extension
-1,NotSet
