Type,Code,Value
Amplifier,00,Unknown
Amplifier,11,Team/Crew
Amplifier,12,Squad
Amplifier,13,Section
Amplifier,14,Platoon/Detachment
Amplifier,15,Company/Battery/Troop
Amplifier,16,Battalion/Squadron
Amplifier,17,Regiment/Group
Amplifier,18,Brigade
Amplifier,21,Division
Amplifier,22,Corps/MEF
Amplifier,23,Army
Amplifier,24,Army Group/Front
Amplifier,25,Region/Theater
Amplifier,26,Command
Amplifier,31,Wheeled limited cross country
Amplifier,32,Wheeled cross country
Amplifier,33,Tracked
Amplifier,34,Wheeled and tracked combination
Amplifier,35,Towed
Amplifier,36,Rail
Amplifier,37,Pack animals
Amplifier,41,Over snow (prime mover)
Amplifier,42,Sled
Amplifier,51,Barge
Amplifier,52,Amphibious
Amplifier,61,Short towed array
Amplifier,62,Long towed array
Amplifier,-1,NotSet
Context,0,Reality
Context,1,Exercise
Context,2,Simulation
Context,-1,NotSet
HQ_TF_FD,0,Unknown
HQ_TF_FD,1,Feint/Dummy
HQ_TF_FD,2,Headquarters
HQ_TF_FD,3,Feint/Dummy Headquarters
HQ_TF_FD,4,Task Force
HQ_TF_FD,5,Feint/Dummy Task Force
HQ_TF_FD,6,Task Force Headquarters
HQ_TF_FD,7,Feint/Dummy Task Force Headquarters
HQ_TF_FD,-1,NotSet
Identity,0,Pending
Identity,1,Unknown
Identity,2,Assumed Friend
Identity,3,Friend
Identity,4,Neutral
Identity,5,Suspect/Joker
Identity,6,Hostile/Faker
Identity,-1,NotSet
Status,0,Present
Status,1,Planned/Anticipated/Suspect
Status,2,Present/Fully Capable
Status,3,Present/Damaged
Status,4,Present/Destroyed
Status,5,Present/Full to Capacity
Status,-1,NotSet
SymbolSet,01,Air
SymbolSet,02,Air Missile
SymbolSet,05,Space
SymbolSet,06,Space Missile
SymbolSet,10,Land Units
SymbolSet,11,Land Civilian
SymbolSet,15,Land Equipment
SymbolSet,20,Land Installation
SymbolSet,25,Control Measure
SymbolSet,30,Sea Surface
SymbolSet,35,Sea Subsurface
SymbolSet,36,Mine Warfare
SymbolSet,40,Activities
SymbolSet,45,Meteorological - Atmospheric
SymbolSet,46,Meteorological - Oceanographic
SymbolSet,47,Meteorological - Space
SymbolSet,50,Signals Intelligence - Space
SymbolSet,51,Signals Intelligence - Air
SymbolSet,52,Signals Intelligence - Land
SymbolSet,53,Signals Intelligence - Surface
SymbolSet,54,Signals Intelligence - Subsurface
SymbolSet,60,Cyberspace
SymbolSet,98,Internal
SymbolSet,-1,NotSet
