# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*A*-----------,S * A * -- -- -- ** ** *,WAR.AIRTRK,Air Track,
S*A*C----------,S * A * C- -- -- ** ** *,WAR.AIRTRK.CVL,Civil Aircraft,
S*A*CF---------,S * A * CF -- -- ** ** *,WAR.AIRTRK.CVL.FIXD,Fixed Wing,
S*A*CL---------,S * A * CL -- -- ** ** *,WAR.AIRTRK.CVL.LTA,Lighter Than Air,
S*A*CH---------,S * A * CH -- -- ** ** *,WAR.AIRTRK.CVL.ROT,Rotary Wing,
S*A*M----------,S * A * M- -- -- ** ** *,WAR.AIRTRK.MIL,Military,
S*A*ME---------,S * A * ME -- -- ** ** *,WAR.AIRTRK.MIL.ESCORT,Escort,
S*A*MF---------,S * A * MF -- -- ** ** *,WAR.AIRTRK.MIL.FIXD,Fixed Wing,
S*A*MFD--------,S * A * MF D- -- ** ** *,WAR.AIRTRK.MIL.FIXD.ABNCP,Airborne Command Post (C2),
S*A*MFS--------,S * A * MF S- -- ** ** *,WAR.AIRTRK.MIL.FIXD.ASBWCB,Antisubmarine Warfare (Asw) Carrier Based,
S*A*MFA--------,S * A * MF A- -- ** ** *,WAR.AIRTRK.MIL.FIXD.ATK,Attack/Strike,
S*A*MFB--------,S * A * MF B- -- ** ** *,WAR.AIRTRK.MIL.FIXD.BMB,Bomber,
S*A*MFC--------,S * A * MF C- -- ** ** *,WAR.AIRTRK.MIL.FIXD.CGOALT,Cargo Airlift (Transport),
S*A*MFCH-------,S * A * MF CH -- ** ** *,WAR.AIRTRK.MIL.FIXD.CGOALT.HVY,Cargo Airlift (Heavy),
S*A*MFCL-------,S * A * MF CL -- ** ** *,WAR.AIRTRK.MIL.FIXD.CGOALT.LIT,Cargo Airlift (Light),
S*A*MFCM-------,S * A * MF CM -- ** ** *,WAR.AIRTRK.MIL.FIXD.CGOALT.MDM,Cargo Airlift (Medium),
S*A*MFY--------,S * A * MF Y- -- ** ** *,WAR.AIRTRK.MIL.FIXD.COMM,Communications,
S*A*MFH--------,S * A * MF H- -- ** ** *,WAR.AIRTRK.MIL.FIXD.CSAR,Combat Search And Rescue (Csar),
S*A*MFQ--------,S * A * MF Q- -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN,Drone (Rpv/Ua),
S*A*MFQD-------,S * A * MF QD -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.ABNCP,Airborne Command Post,
S*A*MFQS-------,S * A * MF QS -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.ASBW,Antisubmarine Warfare (Asw),
S*A*MFQN-------,S * A * MF QN -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.ASUW,Antisurface Warfare (Asuw),
S*A*MFQA-------,S * A * MF QA -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.ATK,Attack,
S*A*MFQB-------,S * A * MF QB -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.BMB,Bomber,
S*A*MFQC-------,S * A * MF QC -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.CGO,Cargo,
S*A*MFQY-------,S * A * MF QY -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.COMM,Communications,
S*A*MFQH-------,S * A * MF QH -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.CSAR,Search & Rescue (Csar),
S*A*MFQJ-------,S * A * MF QJ -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.ECM,Electronic Countermeasures (Jammer),
S*A*MFQF-------,S * A * MF QF -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.FTR,Fighter,
S*A*MFQO-------,S * A * MF QO -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.MEDV,Medevac,
S*A*MFQI-------,S * A * MF QI -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.MNECM,Mine Countermeasures,
S*A*MFQP-------,S * A * MF QP -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.PAT,Patrol,
S*A*MFQR-------,S * A * MF QR -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.RECON,Reconnaissance,
S*A*MFQRW------,S * A * MF QR W- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.RECON.ABNEW,Airborne Early Warning (Aew),
S*A*MFQRZ------,S * A * MF QR Z- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.RECON.ESM,Electronic Surveillance Measures,
S*A*MFQRX------,S * A * MF QR X- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.RECON.PHG,Photographic,
S*A*MFQM-------,S * A * MF QM -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.SOF,Special Operations Forces (Sof),
S*A*MFQT-------,S * A * MF QT -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.TNE,Trainer,
S*A*MFQK-------,S * A * MF QK -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.TNK,Tanker,
S*A*MFQU-------,S * A * MF QU -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.UTY,Utility,
S*A*MFQL-------,S * A * MF QL -- ** ** *,WAR.AIRTRK.MIL.FIXD.DRN.VSTOL,V/Stol,
S*A*MFJ--------,S * A * MF J- -- ** ** *,WAR.AIRTRK.MIL.FIXD.ECM,Electronic Countermeasures (Ecm/Jammer),
S*A*MFF--------,S * A * MF F- -- ** ** *,WAR.AIRTRK.MIL.FIXD.FTR,Fighter,
S*A*MFFI-------,S * A * MF FI -- ** ** *,WAR.AIRTRK.MIL.FIXD.FTR.INCR,Interceptor,
S*A*MFO--------,S * A * MF O- -- ** ** *,WAR.AIRTRK.MIL.FIXD.MEDV,Medical Evacuation (Medevac),
S*A*MFP--------,S * A * MF P- -- ** ** *,WAR.AIRTRK.MIL.FIXD.PAT,Patrol,
S*A*MFPN-------,S * A * MF PN -- ** ** *,WAR.AIRTRK.MIL.FIXD.PAT.ASUW,Antisurface Warfare (Asuw),
S*A*MFPM-------,S * A * MF PM -- ** ** *,WAR.AIRTRK.MIL.FIXD.PAT.MNECM,Mine Countermeasures,
S*A*MFR--------,S * A * MF R- -- ** ** *,WAR.AIRTRK.MIL.FIXD.RECON,Reconnaissance,
S*A*MFRW-------,S * A * MF RW -- ** ** *,WAR.AIRTRK.MIL.FIXD.RECON.ABNEW,Airborne Early Warning (Aew),
S*A*MFRZ-------,S * A * MF RZ -- ** ** *,WAR.AIRTRK.MIL.FIXD.RECON.ESM,Electronic Surveillance Measures,
S*A*MFRX-------,S * A * MF RX -- ** ** *,WAR.AIRTRK.MIL.FIXD.RECON.PHG,Photographic,
S*A*MFM--------,S * A * MF M- -- ** ** *,WAR.AIRTRK.MIL.FIXD.SOF,Special Operations Forces (Sof),
S*A*MFT--------,S * A * MF T- -- ** ** *,WAR.AIRTRK.MIL.FIXD.TNE,Trainer,
S*A*MFK--------,S * A * MF K- -- ** ** *,WAR.AIRTRK.MIL.FIXD.TNK,Tanker,
S*A*MFKB-------,S * A * MF KB -- ** ** *,WAR.AIRTRK.MIL.FIXD.TNK.BOOM,Tanker Boom-Only,
S*A*MFKD-------,S * A * MF KD -- ** ** *,WAR.AIRTRK.MIL.FIXD.TNK.DROG,Tanker Drogue-Only,
S*A*MFU--------,S * A * MF U- -- ** ** *,WAR.AIRTRK.MIL.FIXD.UTY,Utility,
S*A*MFUH-------,S * A * MF UH -- ** ** *,WAR.AIRTRK.MIL.FIXD.UTY.HVY,Utility (Heavy),
S*A*MFUL-------,S * A * MF UL -- ** ** *,WAR.AIRTRK.MIL.FIXD.UTY.LIT,Utility (Light),
S*A*MFUM-------,S * A * MF UM -- ** ** *,WAR.AIRTRK.MIL.FIXD.UTY.MDM,Utility (Medium),
