# Generated from: https://github.com/Esri/military-features-data/tree/master/data/mil2525c
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt

Acoustic F,GFOPFA----****X,C2 Military Operations.style,Other,P,Appendix B; Other; Friendly; Fix; Acoustic; GFopfa----****x
Acoustic H,GHOPFA----****X,C2 Military Operations.style,Other,P,Appendix B; Other; Hostile; Fix; Acoustic; GHopfa----****x
Acoustic N,GNOPFA----****X,C2 Military Operations.style,Other,P,Appendix B; Other; Neutral; Fix; Acoustic; GNopfa----****x
Acoustic U,GUOPFA----****X,C2 Military Operations.style,Other,P,Appendix B; Other; Unknown; Fix; Acoustic; GUopfa----****x
Action Points (general) F,GFGPGPP-------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Friendly; Action Points; GFGPGPP-------X
Action Points (general) H,GHGPGPP-------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Action Points; GHGPGPP-------X
Action Points (general) N,GNGPGPP-------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Action Points; GNGPGPP-------X
Action Points (general) U,GUGPGPP-------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Action Points; GUGPGPP-------X
Aim Point F,GFGPGPWA------X,C2 Military Operations.style,Weapon,P,Appendix B; Command And Control And General Maneuver;  Friendly; General; Aim Point; GFgpgpwa------x
Aim Point H,GHGPGPWA------X,C2 Military Operations.style,Weapon,P,Appendix B; Command And Control And General Maneuver;  Hostile; General; Aim Point; GHgpgpwa------x
Aim Point N,GNGPGPWA------X,C2 Military Operations.style,Weapon,P,Appendix B; Command And Control And General Maneuver;  Neutral; General; Aim Point; GNgpgpwa------x
Aim Point U,GUGPGPWA------X,C2 Military Operations.style,Weapon,P,Appendix B; Command And Control And General Maneuver;  Unknown; General; Aim Point; GUgpgpwa------x
Air Control F,GFGPGPA-------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Friendly; Air Control; GFgpgpa-------x
Air Control H,GHGPGPA-------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Hostile; Air Control; GHgpgpa-------x
Air Control N,GNGPGPA-------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  General; Neutral; Air Control; GNgpgpa-------x
Air Control Point (ACP) F,GFGPAPP---****X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  Aviation; Friendly; Air Control Point ;  Acp; GFGPAPP---****X
